cluster,datetime,motion,sound,temp,vibescore
2,,0.43,0.0,22.71,0.59
1,,0.48,1.09,21.27,0.21
3,,0.06,0.0,22.37,0.78
4,,0.31,0.61,25.14,0.99
3,,0.51,0.72,17.7,0.74
3,,0.67,0.0,22.91,0.62
3,,0.25,0.35,22.58,0.74
2,,0.25,0.1,25.69,0.53
2,,0.55,0.0,22.49,0.6
3,,0.34,1.4,22.99,0.79
0,,0.17,0.77,23.09,0.06
2,,0.06,0.05,23.97,0.44
2,,0.03,0.29,21.84,0.52
2,,0.59,1.35,21.53,0.56
3,,0.13,0.0,21.66,0.73
2,,0.08,0.26,23.13,0.5
4,,0.27,1.83,24.15,0.83
3,,0.59,0.67,22.17,0.64
2,,0.26,0.4,21.04,0.56
3,,0.63,0.0,24.26,0.7
3,,0.67,0.29,21.16,0.7
1,,0.48,0.0,23.7,0.4
2,,0.51,0.76,21.41,0.6
3,,0.47,0.12,23.81,0.71
3,,0.39,0.0,23.55,0.67
2,,0.63,0.0,22.35,0.6
3,,0.09,0.0,23.97,0.74
